test_subject,test_type,test_queue,gold_answer,pretrained_subject,pretrained_answer,pretrained_retrieval_score,pretrained_answer_similarity_top1,pretrained_answer_similarity_best3,v2_subject,v2_answer,v2_retrieval_score,v2_answer_similarity_top1,v2_answer_similarity_best3,best3_delta
Concern Regarding Data Analytics Service,Incident,Service Outages and Maintenance,"<name>, thank you for reporting the issue with the Data Analytics Service. We apologize for the outage that has impacted your investment optimization. We are investigating the possible cause, which may be related to server maintenance. Please provide details on the outage, the exact time it occurred, and any error messages you received. This will assist us in helping you.",Problem with Data Analytics Service,"Dear [name], thank you for reporting the issue with the Data Analytics Service. We apologize for the outage that impacted investment optimization. We are investigating the possible cause, which could be related to server maintenance. Could you please provide more details about the outage, including the exact time it occurred and any error messages you received? This will help us assist you better.",0.933947741985321,0.972873330116272,0.972873330116272,Problem with Data Analytics Service,"Dear [name], thank you for reporting the issue with the Data Analytics Service. We apologize for the outage that impacted investment optimization. We are investigating the possible cause, which could be related to server maintenance. Could you please provide more details about the outage, including the exact time it occurred and any error messages you received? This will help us assist you better.",0.856272280216217,0.972873330116272,0.972873330116272,0.0
Support Inquiry for Zoom Connection Challenges,Incident,Technical Support,"<name>, we acknowledge your support request regarding the Zoom connection issues experienced during your recent data analysis meeting. We are sorry to hear that the call was frequently disrupted. Given that you have already tried resetting your router and adjusting Zoom settings, we would like to assist you further. Could you please provide us with details about your internet connection, including your internet service provider and the speed of your connection? Additionally, it would be helpful to know the number of participants in the call. Thank you.",Assistance Request for Zoom Connection Issues,"Dear [Name], we appreciate your support request regarding the Zoom connection issues you experienced during your recent data analysis meeting. We are sorry to hear that the call was frequently disrupted. Since you have already tried basic troubleshooting steps like resetting your router and adjusting Zoom settings, we would like to assist you further. Could you please provide us with more details about your internet connection, including your internet service provider and your internet speed? Additionally, it would be helpful to know the number of participants in the call. Thank you.",0.9799400568008423,0.9707608819007874,0.9707608819007874,Assistance Request for Zoom Connection Issues,"Dear [Name], we appreciate your support request regarding the Zoom connection issues you experienced during your recent data analysis meeting. We are sorry to hear that the call was frequently disrupted. Since you have already tried basic troubleshooting steps like resetting your router and adjusting Zoom settings, we would like to assist you further. Could you please provide us with more details about your internet connection, including your internet service provider and your internet speed? Additionally, it would be helpful to know the number of participants in the call. Thank you.",0.9776512980461121,0.9707608819007874,0.9728984832763672,0.002137601375579834
häufige Verbindungsabbrüche bei Software-System in Spitzenzeiten,Problem,Technical Support,"Sehr geehrte(r) <name>,\n\nich möchte mich daran erinnern, dass wir Verbindungsabbrüche bei Ihrem Software-System in Spitzenzeiten gemeldet bekommen haben. Obwohl wir Datenbankabfragen optimiert und die Serverkapazität gesteigert haben, sind die Probleme weiterhin vorhanden.\nUm die Ursache des Problems besser zu verstehen, würde ich Sie bitten, uns zusätzliche Informationen zukommen zu lassen, zum Beispiel Fehlermeldungen oder die Häufigkeit der Abrüche. Darüber hinaus wäre ich Ihnen sehr dankbar, wenn wir telefonisch besprechen könnten, um eine Lösung für das Problem zu finden. Bitte geben Sie mir einen geeigneten Zeitpunkt, und ich rufe Sie an: <tel_num>. Wir arbeiten gemeinsam an der Lösung des Problems.\nMit freundlichen Grüßen,\n\nIhr Team",häufige Verbindungsabbrüche des Software-Systems bei hoher Aktivität,"Sehr geehrte/r [Name],\n\nich schreibe Ihnen über die Anliegen hinsichtlich häufiger Verbindungsabbrüche des Software-Systems während hoher Aktivitätszeiten. Obwohl bereits Maßnahmen ergriffen wurden, um die Datenbankabfragen zu optimieren und die Serverkapazität zu erhöhen, bestehen die Probleme weiterhin.\n\nUm den Sachverhalt besser zu verstehen, würde ich gerne zusätzliche Informationen zu den Verbindungsabbrüchen einholen, insbesondere die Häufigkeit der Fehlermeldungen. Darüber hinaus würde ich einen Anruf vereinbaren, um das Thema zu besprechen. Bitte geben Sie mir eine passende Zeit an, um anzurufen ([Telefonnummer]). Gemeinsam werden wir daran arbeiten, das Problem zu lösen.\n\nMit freundlichen Grüßen",0.9135704636573792,0.9375182390213013,0.9375182390213013,häufige Verbindungsabbrüche des Software-Systems bei hoher Aktivität,"Sehr geehrte/r [Name],\n\nich schreibe Ihnen über die Anliegen hinsichtlich häufiger Verbindungsabbrüche des Software-Systems während hoher Aktivitätszeiten. Obwohl bereits Maßnahmen ergriffen wurden, um die Datenbankabfragen zu optimieren und die Serverkapazität zu erhöhen, bestehen die Probleme weiterhin.\n\nUm den Sachverhalt besser zu verstehen, würde ich gerne zusätzliche Informationen zu den Verbindungsabbrüchen einholen, insbesondere die Häufigkeit der Fehlermeldungen. Darüber hinaus würde ich einen Anruf vereinbaren, um das Thema zu besprechen. Bitte geben Sie mir eine passende Zeit an, um anzurufen ([Telefonnummer]). Gemeinsam werden wir daran arbeiten, das Problem zu lösen.\n\nMit freundlichen Grüßen",0.8234971761703491,0.9375182390213013,0.9375182390213013,0.0
Request for Pro Tools Support,Request,Customer Service,We can provide guidance on integrating Pro Tools with our SaaS solution. Please provide more details about your current setup to help us achieve the integration. We are happy to offer resources and support to kick off the process.,Request for Pro Tools Integration Guidance,Will provide guidance on integrating Pro Tools SaaS. Please share details about your current setup so we can achieve the integration. I am happy to offer resources and assistance to get started.,0.936186671257019,0.9549527764320374,0.9615849852561951,Request for Pro Tools Integration Guidance,Will provide guidance on integrating Pro Tools SaaS. Please share details about your current setup so we can achieve the integration. I am happy to offer resources and assistance to get started.,0.8768185973167419,0.9549527764320374,0.9615849852561951,0.0
Incorrect Billing Charges Invoice,Problem,Billing and Payments,"Dear <name>, thank you for bringing this to our attention. We apologize for the incorrect billing charges. I will investigate the matter. Could you please provide the invoice date for account <acc_num>? We will review the charges and correct any errors. If necessary, please call <tel_num> to discuss the issue.",Incorrect Charge,We apologize for the billing error. Please provide your account number so we can assist in resolving this issue.,0.8666089773178101,0.7587180137634277,0.9611619114875793,Problem with Billing Invoice Charges,"<name>, we apologize for the issue with the invoice charges. We will review your account <acc_num> to investigate potential errors in the billing system. To assist you more effectively, please provide details of the unexpected charges, including the date and amount. If necessary, we can arrange a call at <tel_num> to discuss this further. We are committed to resolving this matter promptly and appreciate your patience and cooperation. Our team will contact you soon with an update on your account status.",0.832477331161499,0.9138243198394775,0.9611619114875793,0.0
Anfrage zu Integrationsoptionen im Bereich Smart Home,Request,Returns and Exchanges,"Vielen Dank für Ihre Anfrage. Unsere Produkte unterstützen die Integration mit Amazon Alexa, Google Assistant und Apple HomeKit. Die Kompatibilität variiert jedoch je nach Produkt, daher bitten wir Sie, das konkrete Produkt zu nennen, an dem Sie interessiert sind. Die Einrichtung der meisten Produkte ist benutzerfreundlich, wobei eine professionelle Installation in einigen Fällen empfohlen wird. Regelmäßige Software-Updates bieten erweiterte Funktionen. Für detaillierte Kompatibilitätsinformationen und kommende Updates lassen Sie uns bitte die spezifischen Modelle wissen, die Sie in Betracht ziehen.",Smart Home Systems,"<name>, provide details on integrating Smart-Gartenbewässerung with Slack and Elasticsearch. To better assist you, please provide more information about your current setup and what you are trying to achieve. I am happy to discuss and explore possible solutions, and would be available for a call at your convenience.",0.7929814457893372,0.2882099747657776,0.5301930904388428,Smart Home Systems,"<name>, provide details on integrating Smart-Gartenbewässerung with Slack and Elasticsearch. To better assist you, please provide more information about your current setup and what you are trying to achieve. I am happy to discuss and explore possible solutions, and would be available for a call at your convenience.",0.5242646932601929,0.2882099747657776,0.5301930904388428,0.0
,Problem,IT Support,"<name>, thank you for reporting the issue with the data processing system. We apologize for the inconvenience caused by these delays. To proceed with our investigation, could you please provide details about the software products you are using and their current versions? Additionally, we need to know the specific error messages you are encountering. Feel free to contact <tel_num> if you'd like to discuss the issue further.",,"Sehr geehrter <Name>, vielen Dank, dass Sie das Problem mit dem Datenverarbeitungssystem gemeldet haben. Wir entschuldigen uns für die Unannehmlichkeiten, die durch die Verzögerungen entstanden sind. Wir werden die Angelegenheit untersuchen. Könnten Sie bitte weitere Details zu den verwendeten Softwareprodukten und deren Versionen bereitstellen? Außerdem benötigen wir die genauen Fehlermeldungen, die Sie erhalten haben. Falls erforderlich, können Sie uns unter <tel_num> kontaktieren, um die Angelegenheit zu besprechen.",0.9220948219299316,0.9341812133789062,0.9341812133789062,Problem with Data Processing Delays,Please review the issue; additional information may be required. Kindly let us know a suitable time for a call at <tel_num> to discuss and identify the root cause of the data processing delays.,0.8123136758804321,0.7763307094573975,0.9341812133789062,0.0
Sorgen über Datenverletzungen bei medizinischen Akten im IT-System des Krankenhauses,Problem,Technical Support,"Ich verstehe Ihre Besorgnis hinsichtlich der Datenverletzungen, die die medizinischen Akten im IT-System des Krankenhauses betreffen. Trotz der Bemühungen, die Firmware zu aktualisieren, die Malware zu suchen und die Zugangssteuerungen zu ändern, bestehen die Probleme weiterhin. Könnten Sie bitte mehr Details über die betroffenen Systeme geben? Wir können einen Anruf vereinbaren, um die nächsten Schritte zur Lösung des Problems zu besprechen. Wären Sie heute bereit, den Anruf um <tel_num> zu tätigen?",Datenschutzverletzung bei Gesundheitsdienstleistern,"Die Datenschutzverletzung bei einem Gesundheitsdienstleister muss untersucht werden. Um besser helfen zu können, benötige ich mehr Details über die durchgeführten Sicherheitsprüfungen. Bitte rufen Sie an: <tel_num>, um Näheres zu besprechen und einen Termin für die Lösung des Problems zu vereinbaren.",0.8627498149871826,0.7130738496780396,0.7646691203117371,Datenschutzverletzung bei Gesundheitsdienstleistern,"Die Datenschutzverletzung bei einem Gesundheitsdienstleister muss untersucht werden. Um besser helfen zu können, benötige ich mehr Details über die durchgeführten Sicherheitsprüfungen. Bitte rufen Sie an: <tel_num>, um Näheres zu besprechen und einen Termin für die Lösung des Problems zu vereinbaren.",0.6765049695968628,0.7130738496780396,0.8281875848770142,0.0635184645652771
Account Charges Issue,Problem,Billing and Payments,"Dear [name], investigating the issue with account charges. Could you please provide details of the unexpected charges observed on account <acc_num>? This will help in resolving the matter promptly.",Problem with Account Charges,"Dear [name], investigating the issue with account charges. Kindly provide details on the unexpected charges observed in account [acc_num]. This will help us address the matter promptly.",0.8998525142669678,0.9752038717269897,0.9752038717269897,Problem with Account Charges,"Dear [name], investigating the issue with account charges. Kindly provide details on the unexpected charges observed in account [acc_num]. This will help us address the matter promptly.",0.8713775873184204,0.9752038717269897,0.9752038717269897,0.0
Problem with Mesh Network Connection,Incident,Technical Support,"Acknowledging the issue with Mesh Network Connectivity. To assist further, could you please provide the model number and current firmware version of the Mesh Network devices? It would be helpful to schedule a call at a convenient time for you to troubleshoot the issue. Please let me know a suitable time for the call, or you can contact us directly at <tel_num> to discuss possible solutions, which may include firmware updates or device replacement, and we can proceed with <acc_num>.",Problem with Mesh Network Connectivity,"Acknowledging the issue with Mesh Network Connectivity. To proceed further, could you please provide the model number and the current firmware version of the Mesh Network devices? It would be convenient to schedule a call to troubleshoot the issue; please let me know a suitable time for the call at <tel_num>. Alternatively, you can contact me directly to discuss possible solutions, which may include firmware updates or device replacement, at <acc_num>.",0.9728425741195679,0.990208625793457,0.990208625793457,Problem with Mesh Network Connectivity,"Acknowledging the issue with Mesh Network Connectivity. To proceed further, could you please provide the model number and the current firmware version of the Mesh Network devices? It would be convenient to schedule a call to troubleshoot the issue; please let me know a suitable time for the call at <tel_num>. Alternatively, you can contact me directly to discuss possible solutions, which may include firmware updates or device replacement, at <acc_num>.",0.9471337795257568,0.990208625793457,0.990208625793457,0.0
Health Concerns,Incident,Technical Support,Please review the case by contacting <tel_num> to discuss measures for addressing the unauthorized access attempts and to ensure the security of the system. Kindly make yourself available for a call at your earliest convenience.,Health-Related Issues,Investigate the case and contact <tel_num> to discuss the next steps for resolving unauthorized access attempts and ensuring system security. Please be available for a prompt call.,0.9294407367706299,0.9156478643417358,0.9156478643417358,Health-Related Issues,Investigate the case and contact <tel_num> to discuss the next steps for resolving unauthorized access attempts and ensuring system security. Please be available for a prompt call.,0.8769605159759521,0.9156478643417358,0.9156478643417358,0.0
,Request,Billing and Payments,"geehrte [Ihr Name], danke, dass Sie sich an uns gewandt haben. Wir haben detaillierte Informationen zu Rechnungslegungsprozessen, Puppet- Smartwatch-Integrationen und SaaS-Plattformen auf unserer Website bereitgestellt. Sie können den detaillierten Leitfaden per E-Mail erhalten lassen. Falls Sie weitere Fragen zur Nutzung oder Einrichtung haben, lassen Sie uns wissen, wann ein Telefonat geplant sein kann. Wir bedanken uns hiermit für Ihr Geschäft und freuen uns darauf, Ihnen zu helfen. Vielen Dank, freundliche Grüße, [Ihr Name]",,"geehrtes [Dein Name], vielen Dank, dass Sie sich an unser Support-Team gewandt haben. Detaillierte Informationen zu Rechnungsstellungsprozeduren und Puppet Smartwatch-Integrationen empfehlen wir Ihnen, unsere Website zu studieren. Für einen detaillierten Leitfaden können Sie eine E-Mail erhalten lassen. Falls Sie weitere Fragen zur Einstellung haben, melden Sie sich bitte bei uns, um ein geeignetes Gespräch zu vereinbaren. Wir schätzen Ihre Unterstützung und freuen uns darauf, Ihnen zu helfen. freundliche Grüße, [Name]",0.9004271030426025,0.8394265174865723,0.8394265174865723,,"geehrtes [Dein Name], vielen Dank, dass Sie sich an unser Support-Team gewandt haben. Detaillierte Informationen zu Rechnungsstellungsprozeduren und Puppet Smartwatch-Integrationen empfehlen wir Ihnen, unsere Website zu studieren. Für einen detaillierten Leitfaden können Sie eine E-Mail erhalten lassen. Falls Sie weitere Fragen zur Einstellung haben, melden Sie sich bitte bei uns, um ein geeignetes Gespräch zu vereinbaren. Wir schätzen Ihre Unterstützung und freuen uns darauf, Ihnen zu helfen. freundliche Grüße, [Name]",0.8375973701477051,0.8394265174865723,0.8394265174865723,0.0
Epson Scanner Support Inquiry,Change,Product Support,<name> thanks you for your email about integrating the Epson WorkForce ES-500W Scanner to enhance compatibility with your current project management tools. We would be happy to discuss potential solutions that can better assist your workflow. Please provide us with the details of your current tools so we can schedule a call at your convenience to discuss further.,Support Inquiry for Epson Scanner Integration,"We appreciate your email about integrating the Epson WorkForce ES-500W Scanner to enhance compatibility with your existing project management tools. We would be happy to discuss possible solutions to better assist you. Please provide us with the details of your current setup, and we will be glad to schedule a call at your convenience to discuss further.",0.9664271473884583,0.9766984581947327,0.9766984581947327,Support Inquiry for Epson Scanner Integration,"We appreciate your email about integrating the Epson WorkForce ES-500W Scanner to enhance compatibility with your existing project management tools. We would be happy to discuss possible solutions to better assist you. Please provide us with the details of your current setup, and we will be glad to schedule a call at your convenience to discuss further.",0.9554043412208557,0.9766984581947327,0.9766984581947327,0.0
Anfrage zu Sicherheits- und Compliance-Updates für Systeme,Change,Product Support,"Vielen Dank für Ihre Anfrage. Bitte teilen Sie uns den Namen der Organisation sowie Details zu den betroffenen Systemen und aktuellen Compliance-Dokumentationen mit, damit wir individuelle Empfehlungen für die nächsten Schritte und die Umsetzung geben können.",Optimierung der Sicherheitsmaßnahmen in medizinischen Einrichtungen,"Vielen Dank für Ihre Anfrage zu unseren Sicherheitsmaßnahmen bei EMR/PACS-Integrationen, Telemedizinplattformen und IoT-Geräten. Wir verwenden AES-256-Verschlüsselung, rollenbasierte Zugriffskontrollen sowie Echtzeit-Überwachung, um die Einhaltung der Standards HIPAA, GDPR und ISO 27001 zu gewährleisten. Wir empfehlen regelmäßige Überprüfungen der Benutzerzugriffe und zeitnahe Systemaktualisierungen. Bitte teilen Sie uns mit, ob Sie spezifische Dokumentationen benötigen oder ein Gespräch über kommende Verbesserungen und bewährte Praktiken wünschen.",0.9061739444732666,0.5228843092918396,0.6344071626663208,Revision der Sicherheitsmaßnahmen für Gesundheitsdaten-Integrationen,"<name>,\n\nherzlichen Dank für Ihre Anfrage bezüglich der Aktualisierung der Sicherheitsprotokolle für Überwachungskonfigurationen bei EMR/PACS-Integrationen, Telemedizin-Plattformen und IoT-Medizingeräten, um den Standards HIPAA, GDPR und ISO 27001 zu entsprechen. Wir verstehen die wesentliche Bedeutung der Einhaltung dieser Vorgaben und setzen alles daran, den Schutz der Daten sicherzustellen.\n\nUm effizient vorzugehen, bitten wir Sie, die folgenden Informationen bereitzustellen: eine Aufstellung der derzeit integrierten Systeme und Plattformen, etwaige beteiligte Drittanbieter, bestehende Sicherheitsmaßnahmen sowie, sofern vorhanden,",0.7812268733978271,0.5610944032669067,0.6344071626663208,0.0
Concern Regarding Investment Data Analytics Issues,Incident,Technical Support,"We apologize for the issues with investment data analytics. Our support team will investigate the problem as soon as possible to provide assistance. Please provide more details about the errors and symptoms observed. By working together, we can resolve the issue and ensure that timely analytical insights are provided. Thank you for your patience and we will contact you soon.",Concern Regarding Recent Delays in Data Processing for Investment Analytics,"Acknowledging the issue of recent delays in data processing for investment analytics. We understand the urgency to resolve this as soon as possible to minimize disruptions. To better assist you, we need more details on the recent system updates and any specific error messages received. Could you please provide us with the details of the updates and any errors? Additionally, we propose scheduling a call to discuss the issue and work together to find a solution.",0.9223822951316833,0.7390720844268799,0.767330527305603,Concerns Regarding Investment Data Analytics,We apologize for the issue with investment data analytics. Our support team will investigate the problem and provide assistance as soon as possible. Please provide any details on error messages or symptoms you are experiencing. This information will help us work towards resolving the issue and getting your analytics running smoothly to ensure timely investment insights. We appreciate your patience and will be in touch soon.,0.790797233581543,0.9749718904495239,0.9749718904495239,0.2076413631439209
Problem with KVM Switch,Problem,Technical Support,"Thank you for reaching out to us regarding the KVM Switch issue. We understand that you have already taken several troubleshooting steps, including resetting the device, updating the drivers, and checking the cable connections. To assist you better, could you please provide the model number and firmware version of the KVM Switch? Additionally, it would be helpful to schedule a call at <tel_num> to discuss the issue in more detail and determine the best course of action, whether it involves further troubleshooting or a potential replacement device <acc_num>.",KVM Switch Connectivity Issues,"Dear <name>, thank you for reaching out to us. I understand that you have already taken initial steps to address the issues, including resetting the KVM switch, updating the drivers, and checking cable connections. To assist you further, could you please provide me with the model number and firmware version of your KVM switch? Additionally, I would like to schedule a call at <tel_num> to discuss this problem further and explore potential solutions, additional steps for problem resolution, or a replacement switch for your account number <acc_num>.",0.96510249376297,0.9016364216804504,0.9016364216804504,KVM Switch Connectivity Issues,"Dear <name>, thank you for reaching out to us. I understand that you have already taken initial steps to address the issues, including resetting the KVM switch, updating the drivers, and checking cable connections. To assist you further, could you please provide me with the model number and firmware version of your KVM switch? Additionally, I would like to schedule a call at <tel_num> to discuss this problem further and explore potential solutions, additional steps for problem resolution, or a replacement switch for your account number <acc_num>.",0.9533703327178955,0.9016364216804504,0.9016364216804504,0.0
Inquiry on Data Security Measures for Hospital Products,Request,Customer Service,Report sent,Inquiry on Security Measures for Medical Data,Detailed security protocols for handling medical data within the hospital's systems will be provided shortly.,0.9229078888893127,0.21630501747131348,0.2604908347129822,Inquiry on Security Measures for Medical Data,Detailed security protocols for handling medical data within the hospital's systems will be provided shortly.,0.8248001933097839,0.21630501747131348,0.21630501747131348,-0.0441858172416687
Unterstützung bei digitalen Produkten,Request,Customer Service,"Kontaktieren Sie uns, um Strategien für digitales Marketing zu besprechen",Unterstützung für Digitale Produkte,"Kontakt aufnehmen, um Strategien im digitalen Marketing zu besprechen",0.9713718295097351,0.9621407985687256,0.9621407985687256,Unterstützung für Digitale Produkte,"Kontakt aufnehmen, um Strategien im digitalen Marketing zu besprechen",0.918529748916626,0.9621407985687256,0.9621407985687256,0.0
